"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"mii-lm-mikrobio-untersuchung","mii-lm-mikrobio-untersuchung","","","",0,*,"","","","null {[]} {[]}
","Mikrobiologische Untersuchung","Abstrakte Basis einer mikrobiologischen Untersuchung. Die fachlichen Ausprägungen (Kultur, Bestimmung, Weitere Eigenschaften, Quantitative Tests) leiten von dieser Klasse ab und ergänzen sie um ihre jeweils spezifischen Attribute.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mikrobio-untersuchung.id","mii-lm-mikrobio-untersuchung.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-mikrobio-untersuchung.extension","mii-lm-mikrobio-untersuchung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-mikrobio-untersuchung.Identifikation","mii-lm-mikrobio-untersuchung.Identifikation","","","",1,*,"","","","Identifier {[]} {[]}
","Identifikation","Eindeutiger Identifikator der Untersuchung.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Identifikation",1,*,"",""
"mii-lm-mikrobio-untersuchung.Status","mii-lm-mikrobio-untersuchung.Status","","","",1,1,"","","","code {[]} {[]}
","Status","Status der Untersuchung (z. B. vorläufig, final, korrigiert).","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Status",1,1,"",""
"mii-lm-mikrobio-untersuchung.Patient","mii-lm-mikrobio-untersuchung.Patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","Patient","Patient, von dem das untersuchte Probenmaterial stammt.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Patient",1,1,"",""
"mii-lm-mikrobio-untersuchung.Probenmaterial","mii-lm-mikrobio-untersuchung.Probenmaterial","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen]]}
","Probenmaterial","Untersuchtes Probenmaterial. Die Probenart wird über das Probenmaterial abgebildet und nicht über präkoordinierte Untersuchungscodes.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Probenmaterial",1,1,"",""
"mii-lm-mikrobio-untersuchung.Untersuchungszeitpunkt","mii-lm-mikrobio-untersuchung.Untersuchungszeitpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","Untersuchungszeitpunkt","Klinisch relevanter Zeitpunkt der Untersuchung.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Untersuchungszeitpunkt",1,1,"",""
"mii-lm-mikrobio-untersuchung.QuelleUntersuchungszeitpunkt","mii-lm-mikrobio-untersuchung.QuelleUntersuchungszeitpunkt","","","",0,1,"","","","Coding {[]} {[]}
","Quelle des Untersuchungszeitpunkts","Gibt an, worauf sich der Untersuchungszeitpunkt bezieht, z. B. Zeitpunkt der Probenentnahme oder Laboreingang.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.QuelleUntersuchungszeitpunkt",0,1,"",""
"mii-lm-mikrobio-untersuchung.Dokumentationszeitpunkt","mii-lm-mikrobio-untersuchung.Dokumentationszeitpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","Dokumentationszeitpunkt","Zeitpunkt, zu dem das Untersuchungsergebnis verfügbar gemacht wurde.","","","","","","","","","",,,,,"",,,,"mii-lm-mikrobio-untersuchung.Dokumentationszeitpunkt",0,1,"",""
